Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE LUXURIE,"1,145,000",796.54,"1,437",Nov-23,COMPASSVALE ROAD,Resale,Strata,74,"15,473",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
AMO RESIDENCE,"5,600,000","2,292.73","2,443",Nov-23,ANG MO KIO RISE,New Sale,Strata,213,"26,291",-,Apartment,1,99 yrs lease commencing from 2021,20,Outside Central Region,21 to 25
MY MANHATTAN,"821,000",495.14,"1,658",Nov-23,SIMEI STREET 3,Resale,Strata,46,"17,848",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"733,000",484.38,"1,513",Nov-23,UPPER SERANGOON VIEW,Resale,Strata,45,"16,289",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
KENSINGTON PARK CONDOMINIUM,"2,750,000","1,668.42","1,648",Nov-23,KENSINGTON PARK DRIVE,Resale,Strata,155,"17,742",-,Condominium,1,999 yrs lease commencing from 1878,19,Outside Central Region,16 to 20
JADESCAPE,"1,575,000",764.24,"2,061",Nov-23,SHUNFU ROAD,Resale,Strata,71,"22,183",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05
RIVERFRONT RESIDENCES,"2,660,000","1,485.43","1,791",Nov-23,HOUGANG AVENUE 7,Sub Sale,Strata,138,"19,275",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"825,000",462.85,"1,782",Nov-23,TAMPINES LANE,Sub Sale,Strata,43,"19,186",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
AFFINITY AT SERANGOON,"1,400,000",753.48,"1,858",Nov-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,70,"20,000",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
BEDOK COURT,"2,150,000","2,411.14",892,Nov-23,BEDOK SOUTH AVENUE 3,Resale,Strata,224,"9,598",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,239,998",721.19,"1,719",Nov-23,HOUGANG AVENUE 2,Sub Sale,Strata,67,"18,507",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
BRADDELL VIEW,"1,488,000","1,453.14","1,024",Nov-23,BRADDELL HILL,Resale,Strata,135,"11,022",-,Apartment,1,103 yrs lease commencing from 1975,20,Rest of Central Region,06 to 10
RIO VISTA,"1,388,000","1,248.62","1,112",Nov-23,UPPER SERANGOON VIEW,Resale,Strata,116,"11,966",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"798,000",452.09,"1,765",Nov-23,SERANGOON NORTH VIEW,Resale,Strata,42,"19,000",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
COSTA DEL SOL,"2,370,000","1,345.5","1,761",Nov-23,BAYSHORE ROAD,Resale,Strata,125,"18,960",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
THE FLORENCE RESIDENCES,"1,198,888",667.37,"1,796",Nov-23,HOUGANG AVENUE 2,Sub Sale,Strata,62,"19,337",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
MELVILLE PARK,"897,000",958,936,Nov-23,SIMEI STREET 1,Resale,Strata,89,"10,079",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
THOMSON THREE,"2,120,000","1,044.11","2,030",Nov-23,BRIGHT HILL DRIVE,Resale,Strata,97,"21,856",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,618,000",914.94,"1,768",Nov-23,HOUGANG AVENUE 7,Sub Sale,Strata,85,"19,035",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
LIVIA,"1,880,000","1,539.25","1,221",Nov-23,PASIR RIS GROVE,Resale,Strata,143,"13,147",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
SKY HABITAT,"1,650,000","1,065.64","1,548",Nov-23,BISHAN STREET 15,Resale,Strata,99,"16,667",-,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,21 to 25
GAMBIR RIDGE,"910,888",592.02,"1,539",Nov-23,GAMBIR WALK,Resale,Strata,55,"16,562",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE PANORAMA,"830,000",430.56,"1,928",Nov-23,ANG MO KIO AVENUE 2,Resale,Strata,40,"20,750",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,11 to 15
THOMSON GRAND,"1,520,000",947.23,"1,605",Nov-23,SIN MING WALK,Resale,Strata,88,"17,273",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"1,050,000",871.88,"1,204",Nov-23,FLORA DRIVE,Resale,Strata,81,"12,963",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10
