Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE SHAUGHNESSY,"2,328,000","3,283.02",709,Sep-25,MILTONIA CLOSE,Resale,Strata,305,"7,633",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
RADIANCE @ BUKIT TIMAH,"3,830,000","4,068.79",941,Sep-25,YUK TONG AVENUE,Resale,Strata,378,"10,132",-,Terrace House,1,Freehold,21,Rest of Central Region,-
BELGRAVIA VILLAS,"3,820,000","3,519.83","1,085",Sep-25,BELGRAVIA DRIVE,Resale,Strata,327,"11,682",-,Terrace House,1,Freehold,28,Outside Central Region,-
ATELIER VILLAS,"3,150,000","3,229.2",975,Aug-25,YIO CHU KANG DRIVE,Resale,Strata,300,"10,500",-,Terrace House,1,Freehold,26,Outside Central Region,-
THE WOODS,"2,685,000","4,004.21",671,Aug-25,WESTWOOD AVENUE,Resale,Strata,372,"7,218",-,Terrace House,1,99 yrs lease commencing from 2010,22,Outside Central Region,-
THE SHAUGHNESSY,"2,725,000","3,649",747,Aug-25,MILTONIA CLOSE,Resale,Strata,339,"8,038",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
BINJAI CREST,"3,060,000","3,562.88",859,Aug-25,JALAN KAMPONG CHANTEK,Resale,Strata,331,"9,245",-,Terrace House,1,99 yrs lease commencing from 1996,21,Rest of Central Region,-
THE SHAUGHNESSY,"2,460,000","3,519.83",699,Aug-25,MILTONIA CLOSE,Resale,Strata,327,"7,523",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
ESTE VILLA,"3,568,888","3,422.95","1,043",Aug-25,NIM ROAD,Resale,Strata,318,"11,223",-,Terrace House,1,Freehold,28,Outside Central Region,-
BINJAI CREST,"3,010,000","3,778.16",797,Aug-25,JALAN KAMPONG CHANTEK,Resale,Strata,351,"8,575",-,Terrace House,1,99 yrs lease commencing from 1996,21,Rest of Central Region,-
WOODHAVEN,"3,028,000","3,358.37",902,Aug-25,WOODGROVE AVENUE,Resale,Strata,312,"9,705",-,Terrace House,1,99 yrs lease commencing from 2011,25,Outside Central Region,-
BINJAI CREST,"3,100,000","3,778.16",821,Aug-25,JALAN KAMPONG CHANTEK,Resale,Strata,351,"8,832",-,Terrace House,1,99 yrs lease commencing from 1996,21,Rest of Central Region,-
BELGRAVIA VILLAS,"3,820,000","3,584.41","1,066",Jul-25,BELGRAVIA DRIVE,Resale,Strata,333,"11,471",-,Terrace House,1,Freehold,28,Outside Central Region,-
DALLA VALE,"3,120,000","3,261.49",957,Jul-25,SPRINGLEAF AVENUE,Resale,Strata,303,"10,297",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
ESTE VILLA,"3,730,000","3,799.69",982,Jul-25,NIM ROAD,Resale,Strata,353,"10,567",-,Terrace House,1,Freehold,28,Outside Central Region,-
