name,attributes_cyl_path,agency_maint,inc_crc,fmel_upd_d,length_m,longitude,latitude
kml_1,Toa Payoh,Land Transport Authority,EB7DEF31B24C0848,2022-02-16 13:57:18,120.52090599243412,103.8517670012318,1.3319826955328709
kml_2,Toa Payoh,Land Transport Authority,DE6F80FE4C674CFC,2022-02-16 13:57:18,68.12736142711977,103.85222628636826,1.3314542933459252
kml_3,Toa Payoh,LTA (Others),BDB06A38C7B75D30,2022-02-16 13:57:18,17.090515818706507,103.8526050975655,1.33147576948225
kml_4,Toa Payoh,Land Transport Authority,4BAD44F423281D59,2022-02-16 13:57:18,230.1947799540496,103.85370372185075,1.3316339648341657
kml_5,Toa Payoh,Land Transport Authority,492AF69E20A25ACC,2022-02-16 13:57:18,160.24249197931073,103.85526865049825,1.3322890068056086
kml_6,Toa Payoh,LTA (Others),D4632A324BBCAC4B,2022-02-16 13:57:18,16.814427796909257,103.855802940583,1.33287063404371
kml_7,Toa Payoh,Land Transport Authority,DFA72285A9BC37A4,2022-02-16 13:57:18,134.72078942167306,103.85605468505663,1.3334945973236927
kml_8,Toa Payoh,Land Transport Authority,E203B6D08C1B1D66,2022-02-16 13:57:18,7.914971531657966,103.851666891836,1.332717130489
kml_9,Toa Payoh,LTA (Others),E2CEC52743369F44,2022-02-16 13:57:18,10.58680411207068,103.851654720149,1.3327998256716351
kml_10,Toa Payoh,Land Transport Authority,E309824C9AE30327,2022-02-16 13:57:18,84.9012661381278,103.85576849767509,1.3340278828478245
kml_11,Toa Payoh,Land Transport Authority,8B9654AE93D32626,2022-02-16 13:57:18,63.948338661731775,103.85161040959422,1.3331307609151046
kml_12,Toa Payoh,Land Transport Authority,2578FECE07F6177C,2022-02-16 13:57:18,4.95765059014988,103.854502149247,1.336997517178785
kml_13,Toa Payoh,LTA (Others),C254AA004782FCE6,2022-02-16 13:57:18,32.951370168290865,103.85437290157901,1.33710915259242
kml_14,Toa Payoh,Land Transport Authority,86CA9B4014A10F75,2022-02-16 13:57:18,7.71906953459476,103.854234475206,1.33722919550717
kml_15,Toa Payoh,Land Transport Authority,A7A08BC74E14B915,2022-02-16 13:57:18,64.52676522795883,103.85399037239449,1.33744451590525
kml_16,Toa Payoh,Land Transport Authority,4D3EEB3B87EF6D4A,2022-02-16 13:57:18,6.914829023390357,103.85375025662832,1.3376455928323057
kml_17,Bishan,Land Transport Authority,7E576E3826A3A744,2022-02-16 13:57:18,148.84872672096913,103.84757461491407,1.3542073640077827
kml_18,Bishan,Land Transport Authority,C17E5D5940A3BBEE,2022-02-16 13:57:18,10.025385448106583,103.84665749285419,1.3552366517319412
kml_19,Bishan,Land Transport Authority,7FBFE857CCF0AACE,2022-02-16 13:57:18,58.111254755902344,103.84680439590689,1.354971732648631
kml_20,Bishan,Land Transport Authority,A72A113C29BE01B3,2022-02-16 13:57:18,19.110186752716935,103.84701328296251,1.354693288224945
kml_21,Bishan,Land Transport Authority,DE563095EFC31FCE,2022-02-16 13:57:18,10.65233924018927,103.84821394016366,1.3539255910822654
