Attributes STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,last_updated,longitude,latitude
KAKI BUKIT MRT STATION,Exit B,D3065772B4A8884B,20230127204435,2023-01-27 20:44:35,103.909146276263,1.33492189034272
BEDOK RESERVOIR MRT STATION,Exit B,D9EF7EDA7B6AE00E,20230127204435,2023-01-27 20:44:35,103.933487189855,1.33655490332863
BENCOOLEN MRT STATION,Exit C,B84D682A36C94724,20230127204435,2023-01-27 20:44:35,103.849271703873,1.29769911765443
BENCOOLEN MRT STATION,Exit A,58C4E2D41BF56E13,20230127204435,2023-01-27 20:44:35,103.850843384717,1.29919519603019
KAKI BUKIT MRT STATION,Exit A,C7859F14611E3E46,20230127204435,2023-01-27 20:44:35,103.909405098626,1.33531120636956
TAMPINES WEST MRT STATION,Exit B,538DEFEDB8DF426A,20230127204435,2023-01-27 20:44:35,103.938948503782,1.34499919751448
JALAN BESAR MRT STATION,Exit A,1DF95F048432E540,20230127204435,2023-01-27 20:44:35,103.855296125414,1.30488989412929
BENDEMEER MRT STATION,Exit A,CC5340F062D36648,20230127204435,2023-01-27 20:44:35,103.863074005937,1.31385250562225
BEDOK NORTH MRT STATION,Exit C,7227ED6E51A0A478,20230127204435,2023-01-27 20:44:35,103.917810526029,1.33442257655151
UPPER CHANGI MRT STATION,Exit D,DCF272AB67E90046,20230127204435,2023-01-27 20:44:35,103.961043080709,1.34084047406433
GEYLANG BAHRU MRT STATION,Exit B,7D14D8F944626336,20230127204435,2023-01-27 20:44:35,103.871794271427,1.32110911579532
TAMPINES MRT STATION,Exit D,1D91E52F1D3C6192,20230127204435,2023-01-27 20:44:35,103.943678182032,1.35487057481792
TAMPINES MRT STATION,Exit G,4857FF7FA81FC41A,20230127204435,2023-01-27 20:44:35,103.942723496695,1.35459633872811
BEDOK RESERVOIR MRT STATION,Exit A,2B5A7B2D633B3BD5,20230127204435,2023-01-27 20:44:35,103.932886822506,1.33634776089978
SENJA LRT STATION,Exit A,C46382A21331EA45,20230127204435,2023-01-27 20:44:35,103.762325766572,1.3828754471752
YISHUN MRT STATION,Exit B,C2D55B079B8AA456,20230127204435,2023-01-27 20:44:35,103.834865533461,1.42963629191008
YISHUN MRT STATION,Exit E,C551A20E6E342A65,20230127204435,2023-01-27 20:44:35,103.835643654933,1.42966559716462
SERANGOON MRT STATION,Exit G,40A841F72D73A02C,20230127204435,2023-01-27 20:44:35,103.872866695396,1.35079019941389
SERANGOON MRT STATION,Exit B,DA4475EAB2A9601C,20230127204435,2023-01-27 20:44:35,103.873641321904,1.34983373825613
SERANGOON MRT STATION,Exit E,12758F1DDC8CF6B8,20230127204435,2023-01-27 20:44:35,103.872902116341,1.3508202454304
TAI SENG MRT STATION,Exit A,54874BD41781B357,20230127204435,2023-01-27 20:44:35,103.887627437262,1.33591408492645
EUNOS MRT STATION,Exit C,CB562FEDBA333355,20230127204435,2023-01-27 20:44:35,103.903215186978,1.31952991880127
SEMBAWANG MRT STATION,Exit C,CBDA244C9326B8C6,20230127204435,2023-01-27 20:44:35,103.819758966004,1.44915683716069
HOUGANG MRT STATION,Exit B,6D19186EFE5FD5FB,20230127204435,2023-01-27 20:44:35,103.892972400972,1.37194611655273
CHANGI AIRPORT MRT STATION,Exit A,2D491EF64CB58C02,20230127204435,2023-01-27 20:44:35,103.989276642414,1.3563414210048
OUTRAM PARK MRT STATION,Exit 8,3057E9135BFBD0F9,20230127204435,2023-01-27 20:44:35,103.838117129674,1.28232163095245
OUTRAM PARK MRT STATION,Exit 7,3C9A35B7FDC33A1A,20230127204435,2023-01-27 20:44:35,103.838640195189,1.2810220177189
MAXWELL MRT STATION,Exit 3,CE1632BF9D6E1F72,20230127204435,2023-01-27 20:44:35,103.842916305543,1.28019152238094
MAXWELL MRT STATION,Exit 1,5D6CDC9708168E3B,20230127204435,2023-01-27 20:44:35,103.844164413475,1.28103425526259
MAXWELL MRT STATION,Exit 2,95F61602B7CE905C,20230127204435,2023-01-27 20:44:35,103.844895459262,1.28091943659091
SHENTON WAY MRT STATION,Exit 1,AAEEB32398817172,20230127204435,2023-01-27 20:44:35,103.851835707382,1.27746205833565
SHENTON WAY MRT STATION,Exit 5,03444FA2BC9AF9DF,20230127204435,2023-01-27 20:44:35,103.851807978051,1.2771436461189
SHENTON WAY MRT STATION,Exit 4,2B1F698DD3DB8746,20230127204435,2023-01-27 20:44:35,103.851034086049,1.27765594176983
SHENTON WAY MRT STATION,Exit 2,FD720BE5E5565E2E,20230127204435,2023-01-27 20:44:35,103.850915094628,1.27700305442423
SHENTON WAY MRT STATION,Exit 3,A54D185A5569B115,20230127204435,2023-01-27 20:44:35,103.850128771071,1.27762958112669
SHENTON WAY MRT STATION,Exit 6,42CEFA5FE7DD78D9,20230127204435,2023-01-27 20:44:35,103.849893223277,1.27792920509497
MARINA BAY MRT STATION,Exit 1,4F0EDD7252D1EAF8,20230127204435,2023-01-27 20:44:35,103.854470032954,1.27735303297793
MARINA BAY MRT STATION,Exit 5,03BC8BA7B72C2D81,20230127204435,2023-01-27 20:44:35,103.854319501956,1.27469326445441
MARINA BAY MRT STATION,Exit 4,F125CE014C37C2DB,20230127204435,2023-01-27 20:44:35,103.856488836263,1.27363420910955
MARINA BAY MRT STATION,Exit 3,2F2639EB423EFD0D,20230127204435,2023-01-27 20:44:35,103.85537174149,1.27541636589719
ORCHARD MRT STATION,Exit 11,0A847CDFAB7B3F63,20230127204435,2023-01-27 20:44:35,103.830496723547,1.30421797905404
ORCHARD MRT STATION,Exit 10,B3BE3F499ED707F1,20230127204435,2023-01-27 20:44:35,103.831126574248,1.30404570543486
ORCHARD MRT STATION,Exit 9,AD31C99F12BAEE46,20230127204435,2023-01-27 20:44:35,103.831506861841,1.30366551621641
ORCHARD MRT STATION,Exit 8,705858431FF72BCB,20230127204435,2023-01-27 20:44:35,103.83178613556,1.30344571958931
ORCHARD MRT STATION,Exit 13,DBD31FCCFBAE692E,20230127204435,2023-01-27 20:44:35,103.832124829631,1.30229921132352
ORCHARD MRT STATION,Exit 5,FCA5411E28B2A33D,20230127204435,2023-01-27 20:44:35,103.832023815157,1.30394471745993
ORCHARD MRT STATION,Exit 6,D7A5F13EF395CD85,20230127204435,2023-01-27 20:44:35,103.832320915154,1.30364769526593
STEVENS MRT STATION,Exit 5,3DDAD01108E1ED83,20230127204435,2023-01-27 20:44:35,103.826322577145,1.32093774341441
STEVENS MRT STATION,Exit 4,93AA974193E59BF8,20230127204435,2023-01-27 20:44:35,103.825882869659,1.32151990425561
STEVENS MRT STATION,Exit 1,43C1FAB4A764D619,20230127204435,2023-01-27 20:44:35,103.825728378177,1.31995163510642
STEVENS MRT STATION,Exit 2,A6EA6AA10E329D97,20230127204435,2023-01-27 20:44:35,103.826013593581,1.31882889618825
STEVENS MRT STATION,Exit 3,FD76A5DA4056C137,20230127204435,2023-01-27 20:44:35,103.824991570643,1.31947046099515
HAVELOCK MRT STATION,Exit 1,43806860EF6F95B6,20230127204435,2023-01-27 20:44:35,103.833839753358,1.28667674481792
HAVELOCK MRT STATION,Exit 2,2B4107CDD54FF45A,20230127204435,2023-01-27 20:44:35,103.833495118232,1.28694406698765
HAVELOCK MRT STATION,Exit 5,41415B22F604DBB1,20230127204435,2023-01-27 20:44:35,103.833961901637,1.28956096428231
HAVELOCK MRT STATION,Exit 4,F01A3E97C6F40606,20230127204435,2023-01-27 20:44:35,103.834003496172,1.29016689416429
CITY HALL MRT STATION,Exit D,0D2982825A7A63D7,20230127204435,2023-01-27 20:44:35,103.851802333809,1.29345482595132
SOO TECK LRT STATION,Exit A,5C840B0088A042B7,20230127204435,2023-01-27 20:44:35,103.897029921817,1.40501492486707
SOO TECK LRT STATION,Exit B,7CDEC183A92283AA,20230127204435,2023-01-27 20:44:35,103.897408572121,1.40524489949914
DAMAI LRT STATION,Exit A,D50CD0EB8DF1A6AD,20230127204435,2023-01-27 20:44:35,103.908792226992,1.40528461343374
MARINA BAY MRT STATION,Exit 2,9B69D26308E8046F,20230127204435,2023-01-27 20:44:35,103.85500333792,1.27615893131623
GARDENS BY THE BAY MRT STATION,Exit 3,139A309B16435395,20230127204435,2023-01-27 20:44:35,103.867154122142,1.27830343996812
GARDENS BY THE BAY MRT STATION,Exit 2,64955697073C7D02,20230127204435,2023-01-27 20:44:35,103.867968767276,1.27882622333397
GARDENS BY THE BAY MRT STATION,Exit 1,272B01765238D930,20230127204435,2023-01-27 20:44:35,103.868586734111,1.28037075595564
MARINA SOUTH MRT STATION,Exit 1,20846F5C306F5CFE,20230127204435,2023-01-27 20:44:35,103.861503878728,1.27357480448593
MARINA SOUTH MRT STATION,Exit 2,AC98AC5E6E4A2440,20230127204435,2023-01-27 20:44:35,103.861777210111,1.27385994951971
MARINA SOUTH MRT STATION,Exit 3,0D8225B43A9DB12A,20230127204435,2023-01-27 20:44:35,103.862894304629,1.27313520508679
MARINA SOUTH MRT STATION,Exit 4,465066CFAE562319,20230127204435,2023-01-27 20:44:35,103.862668508874,1.27551141461164
ORCHARD BOULEVARD MRT STATION,Exit 1,387A884B34A26CED,20230127204435,2023-01-27 20:44:35,103.823637898436,1.30362395339039
ORCHARD BOULEVARD MRT STATION,Exit 2,4FC444363DB7E86D,20230127204435,2023-01-27 20:44:35,103.82389561212,1.30246332428451
GREAT WORLD MRT STATION,Exit 5,65268329B5AD5F93,20230127204435,2023-01-27 20:44:35,103.833405504371,1.29655259456474
GREAT WORLD MRT STATION,Exit 1,FCF6BA18E63CA65C,20230127204435,2023-01-27 20:44:35,103.833904631248,1.29332097607264
GREAT WORLD MRT STATION,Exit 2,72FD2496EC6B1D54,20230127204435,2023-01-27 20:44:35,103.832627103189,1.2928694999213
GREAT WORLD MRT STATION,Exit 6,4F2D7457D45F29D1,20230127204435,2023-01-27 20:44:35,103.832841014649,1.29318434464758
GREAT WORLD MRT STATION,Exit 3,C2D22AD994AA8975,20230127204435,2023-01-27 20:44:35,103.832734059176,1.29381997655443
GREAT WORLD MRT STATION,Exit 4,5FD7E726E04576E5,20230127204435,2023-01-27 20:44:35,103.833037100577,1.29602983278925
HAVELOCK MRT STATION,Exit 3,3509B8FC37977C9F,20230127204435,2023-01-27 20:44:35,103.833369520278,1.28884356335354
NAPIER MRT STATION,Exit 1,8800C596B7DB260F,20230127204435,2023-01-27 20:44:35,103.819483777776,1.30693598792234
NAPIER MRT STATION,Exit 2,CE1402EDB6926C4A,20230127204435,2023-01-27 20:44:35,103.819506621185,1.3063449793684
ORCHARD MRT STATION,Exit 12,A360078B6432F773,20230127204435,2023-01-27 20:44:35,103.830663098953,1.30285761474898
OASIS LRT STATION,Exit A,0BEB37C242EBF30C,20230127204435,2023-01-27 20:44:35,103.912646133061,1.40250713144757
KADALOOR LRT STATION,Exit A,8F348D1DC2C6DCD9,20230127204435,2023-01-27 20:44:35,103.916387458482,1.39980926315018
MERIDIAN LRT STATION,Exit A,FCD25ADA46274E53,20230127204435,2023-01-27 20:44:35,103.908965833187,1.39668105013866
MERIDIAN LRT STATION,Exit B,CB5492FBE757562B,20230127204435,2023-01-27 20:44:35,103.908869496154,1.39712168979943
COVE LRT STATION,Exit A,C06D10E6EBF83EA6,20230127204435,2023-01-27 20:44:35,103.905928735776,1.399124393509
SOUTH VIEW LRT STATION,Exit A,335EFAECE777F0ED,20230127204435,2023-01-27 20:44:35,103.74510113108,1.38031765699103
HOLLAND VILLAGE MRT STATION,Exit B,76D46E22BDCAEAAA,20230127204435,2023-01-27 20:44:35,103.79576910839,1.31106948365962
ONE-NORTH MRT STATION,Exit B,45A9A4D683B771BF,20230127204435,2023-01-27 20:44:35,103.787927806168,1.30035949347946
OUTRAM PARK MRT STATION,Exit 3,00AC1131DC50AE35,20230127204435,2023-01-27 20:44:35,103.83978923248,1.28099327615611
DOVER MRT STATION,Exit A,3350D5255C75B2ED,20230127204435,2023-01-27 20:44:35,103.778304715288,1.31141543344877
DOVER MRT STATION,Exit B,F180ED4FDDA94062,20230127204435,2023-01-27 20:44:35,103.778464771304,1.31169319167964
BOON LAY MRT STATION,Exit D,A277212C952A5DE9,20230127204435,2023-01-27 20:44:35,103.705650038035,1.33862950779597
BOON LAY MRT STATION,Exit E,A16B7FAC4E5AB117,20230127204435,2023-01-27 20:44:35,103.7053533532,1.3385141209312
BOON LAY MRT STATION,Exit F,0E296E75C6372829,20230127204435,2023-01-27 20:44:35,103.705795031365,1.33827322197702
BUKIT BATOK MRT STATION,Exit B,474392E67F3BCE9B,20230127204435,2023-01-27 20:44:35,103.749936955579,1.34938958776808
JOO KOON MRT STATION,Exit A,AFF1FA0853BEBB53,20230127204435,2023-01-27 20:44:35,103.678520709011,1.32750208445865
JOO KOON MRT STATION,Exit B,93D34F9CC519E4F1,20230127204435,2023-01-27 20:44:35,103.678644077077,1.32795611143786
CHOA CHU KANG MRT STATION,Exit D,B98A2C3B9DA5DE50,20230127204435,2023-01-27 20:44:35,103.744223583926,1.38570539067001
KRANJI MRT STATION,Exit D,EFEBDF844A7E944C,20230127204435,2023-01-27 20:44:35,103.762496770529,1.42512495935501
MARSILING MRT STATION,Exit B,0449B4DEFBEC025F,20230127204435,2023-01-27 20:44:35,103.774410520697,1.43275137172006
MARSILING MRT STATION,Exit D,AC661F5F30DEBD6A,20230127204435,2023-01-27 20:44:35,103.773997133375,1.43275136098458
HARBOURFRONT MRT STATION,Exit E,FF2613B98FF1665F,20230127204435,2023-01-27 20:44:35,103.8215802917,1.26497195959122
HARBOURFRONT MRT STATION,Exit D,690B8B15B6CB2137,20230127204435,2023-01-27 20:44:35,103.821398857154,1.26597925499591
HARBOURFRONT MRT STATION,Exit A,8A673F2CF4ABB497,20230127204435,2023-01-27 20:44:35,103.820468350461,1.26601318319783
