Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
OASIS GARDEN,"1,610,000","1,237.86","1,301",Oct-21,JALAN BUNGA RAMPAI,Resale,Strata,115,"14,000",-,Condominium,1,Freehold,19,Rest of Central Region,01 to 05
COSTA DEL SOL,"2,000,000","1,474.67","1,356",Oct-21,BAYSHORE ROAD,Resale,Strata,137,"14,599",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
FERRARIA PARK CONDOMINIUM,"1,400,000","1,377.79","1,016",Oct-21,FLORA DRIVE,Resale,Strata,128,"10,938",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
PARC OLYMPIA,"758,000",796.54,952,Oct-21,FLORA DRIVE,Resale,Strata,74,"10,243",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
UBER 388,"2,280,000","1,679.18","1,358",Oct-21,UPPER EAST COAST ROAD,Resale,Strata,156,"14,615",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
SKY VUE,"1,440,000",807.3,"1,784",Oct-21,BISHAN STREET 15,Resale,Strata,75,"19,200",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,16 to 20
CARDIFF RESIDENCE,"599,000",419.8,"1,427",Oct-21,CARDIFF GROVE,Resale,Strata,39,"15,359",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE GLADES,"1,250,000",871.88,"1,434",Oct-21,BEDOK RISE,Resale,Strata,81,"15,432",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
THE SANTORINI,"634,000",527.44,"1,202",Oct-21,TAMPINES STREET 86,Resale,Strata,49,"12,939",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
SUNHAVEN,"1,050,000",990.29,"1,060",Oct-21,UPPER CHANGI ROAD EAST,Resale,Strata,92,"11,413",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
EDELWEISS PARK CONDOMINIUM,"935,000","1,054.87",886,Oct-21,FLORA ROAD,Resale,Strata,98,"9,541",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
CARISSA PARK CONDOMINIUM,"1,250,000","1,302.44",960,Oct-21,FLORA DRIVE,Resale,Strata,121,"10,331",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
SPACE @ KOVAN,"595,000",419.8,"1,417",Sep-21,YIO CHU KANG ROAD,Resale,Strata,39,"15,256",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"722,000",419.8,"1,720",Sep-21,BEDOK SOUTH AVENUE 3,Resale,Strata,39,"18,513",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,06 to 10
THE JOVELL,"980,800",667.37,"1,470",Sep-21,FLORA DRIVE,New Sale,Strata,62,"15,819",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,864,000","1,323.97","1,408",Sep-21,TAMPINES LANE,New Sale,Strata,123,"15,154",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,922,000","1,323.97","1,452",Sep-21,TAMPINES LANE,New Sale,Strata,123,"15,626",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
THE JOVELL,"1,177,700",904.18,"1,303",Sep-21,FLORA DRIVE,New Sale,Strata,84,"14,020",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,745,000","1,151.75","1,515",Sep-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,107,"16,308",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
BOTANIQUE AT BARTLEY,"1,740,000","1,065.64","1,633",Sep-21,UPPER PAYA LEBAR ROAD,Resale,Strata,99,"17,576",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,763,000","1,151.75","1,531",Sep-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,107,"16,477",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
