Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
TWIN WATERFALLS,"1,960,000","1,237.86","1,583",Sep-25,PUNGGOL WALK,Resale,Strata,115,"17,043",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
BELLEWATERS,"1,400,000",925.7,"1,512",Sep-25,ANCHORVALE CRESCENT,Resale,Strata,86,"16,279",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
CITYLIFE@TAMPINES,"2,288,000","1,431.61","1,598",Sep-25,TAMPINES CENTRAL 7,Resale,Strata,133,"17,203",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
AUSTVILLE RESIDENCES,"1,478,000","1,033.34","1,430",Sep-25,SENGKANG EAST AVENUE,Resale,Strata,96,"15,396",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
BELLEWATERS,"1,688,000","1,216.33","1,388",Sep-25,ANCHORVALE CRESCENT,Resale,Strata,113,"14,938",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,16 to 20
WHITEWATER,"1,300,000","1,140.98","1,139",Sep-25,PASIR RIS STREET 72,Resale,Strata,106,"12,264",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,01 to 05
SIMEI GREEN CONDOMINIUM,"1,116,800",968.76,"1,153",Sep-25,SIMEI STREET 4,Resale,Strata,90,"12,409",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
ESPARINA RESIDENCES,"1,325,000",828.83,"1,599",Sep-25,COMPASSVALE BOW,Resale,Strata,77,"17,208",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE VALES,"1,650,000","1,033.34","1,597",Sep-25,ANCHORVALE CRESCENT,Resale,Strata,96,"17,188",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
HERON BAY,"1,388,000","1,022.58","1,357",Sep-25,UPPER SERANGOON VIEW,Resale,Strata,95,"14,611",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
TWIN WATERFALLS,"1,650,000","1,119.46","1,474",Sep-25,PUNGGOL WALK,Resale,Strata,104,"15,865",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
ESPARINA RESIDENCES,"1,730,000","1,001.05","1,728",Sep-25,COMPASSVALE BOW,Resale,Strata,93,"18,602",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
THE VALES,"1,230,000",753.48,"1,632",Sep-25,ANCHORVALE CRESCENT,Resale,Strata,70,"17,571",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
WATERBAY,"1,688,000","1,097.93","1,537",Sep-25,EDGEFIELD PLAINS,Resale,Strata,102,"16,549",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
PRIVE,"1,900,000","1,603.84","1,185",Sep-25,PUNGGOL FIELD,Resale,Strata,149,"12,752",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
RIVERCOVE RESIDENCES,"1,300,000",958,"1,357",Sep-25,ANCHORVALE LANE,Resale,Strata,89,"14,607",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
PRIVE,"1,360,000",882.65,"1,541",Sep-25,PUNGGOL FIELD,Resale,Strata,82,"16,585",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,16 to 20
SEA HORIZON,"2,450,000","1,679.18","1,459",Sep-25,PASIR RIS RISE,Resale,Strata,156,"15,705",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
TWIN WATERFALLS,"1,439,800",914.94,"1,574",Sep-25,PUNGGOL WALK,Resale,Strata,85,"16,939",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
SIMEI GREEN CONDOMINIUM,"1,042,000",968.76,"1,076",Sep-25,SIMEI STREET 4,Resale,Strata,90,"11,578",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
THE EDEN AT TAMPINES,"1,500,000","1,205.57","1,244",Sep-25,TAMPINES STREET 34,Resale,Strata,112,"13,393",-,Executive Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
THE AMORE,"1,950,000","1,302.44","1,497",Sep-25,EDGEDALE PLAINS,Resale,Strata,121,"16,116",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
THE VALES,"1,750,000","1,044.11","1,676",Sep-25,ANCHORVALE CRESCENT,Resale,Strata,97,"18,041",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
TWIN WATERFALLS,"2,000,000","1,237.86","1,616",Sep-25,PUNGGOL WALK,Resale,Strata,115,"17,391",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
THE TERRACE,"1,970,000","1,313.21","1,500",Sep-25,EDGEDALE PLAINS,Resale,Strata,122,"16,148",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
WATERCOLOURS,"1,168,000",990.29,"1,179",Sep-25,PASIR RIS LINK,Resale,Strata,92,"12,696",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
AURELLE OF TAMPINES,"1,453,000",839.59,"1,731",Sep-25,TAMPINES STREET 62,New Sale,Strata,78,"18,628",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,01 to 05
AURELLE OF TAMPINES,"1,685,000",925.7,"1,820",Sep-25,TAMPINES STREET 62,New Sale,Strata,86,"19,593",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,06 to 10
ECOPOLITAN,"1,480,000","1,054.87","1,403",Sep-25,PUNGGOL WALK,Resale,Strata,98,"15,102",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
CITYLIFE@TAMPINES,"1,780,000","1,097.93","1,621",Sep-25,TAMPINES CENTRAL 7,Resale,Strata,102,"17,451",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
THE RIVERVALE,"1,450,000","1,367.03","1,061",Sep-25,RIVERVALE LINK,Resale,Strata,127,"11,417",-,Executive Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,01 to 05
BELYSA,"1,740,000","1,334.74","1,304",Sep-25,PASIR RIS DRIVE 1,Resale,Strata,124,"14,032",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
THE ESPARIS,"1,387,000","1,291.68","1,074",Sep-25,PASIR RIS DRIVE 4,Resale,Strata,120,"11,558",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,01 to 05
THE TAMPINES TRILLIANT,"2,295,000","1,302.44","1,762",Sep-25,TAMPINES CENTRAL 7,Resale,Strata,121,"18,967",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
TREASURE CREST,"1,690,000","1,076.4","1,570",Sep-25,ANCHORVALE CRESCENT,Resale,Strata,100,"16,900",-,Executive Condominium,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
ECOPOLITAN,"1,600,000","1,097.93","1,457",Sep-25,PUNGGOL WALK,Resale,Strata,102,"15,686",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
