Attributes TYPE_CD,type_description,inc_crc,last_updated,longitude,latitude
TSTAND,TAXI STAND,06457BDEFB1C6B7C,2022-01-27 10:59:13,103.781622185881,1.28326100597851
TSTOP,TAXI STOP,68A301080E979FAD,2022-01-27 10:59:13,103.848838548621,1.28264978221586
TSTAND,TAXI STAND,EF8E9296784476A1,2022-01-27 10:59:13,103.844358266003,1.28126053648177
TSTAND,TAXI STAND,05650D8B1D146446,2022-01-27 10:59:13,103.847445944022,1.2814089772597
TSTAND,TAXI STAND,323C310B3BEC5E2D,2022-01-27 10:59:13,103.847510224011,1.31055921839619
TSTAND,TAXI STAND,A19F84DC78C731CB,2022-01-27 10:59:13,103.845270402745,1.28239093786493
TSTAND,TAXI STAND,5C9DCEF0D9F26255,2022-01-27 10:59:13,103.846251189746,1.28247899108389
TSTAND,TAXI STAND,7869DE064EED38CC,2022-01-27 10:59:13,103.84404613573,1.28287237021929
TSTAND,TAXI STAND,3A23D821C88E66BC,2022-01-27 10:59:13,103.848946286661,1.28184782603736
TSTOP,TAXI STOP,FEDBE57D1D9F1B47,2022-01-27 10:59:13,103.848758087933,1.28022560454912
TSTAND,TAXI STAND,D5AA7AA58A4A82A5,2022-01-27 10:59:13,103.893186157677,1.38265239411891
TSTOP,TAXI STOP,974E50308E05BA77,2022-01-27 10:59:13,103.84797316273,1.27893906145534
TSTAND,TAXI STAND,882022F4B2899193,2022-01-27 10:59:13,103.833057754282,1.41709038338499
TSTAND,TAXI STAND,E5C3D8B2DAA2A6BC,2022-01-27 10:59:13,103.84405249233,1.31725441296077
TSTAND,TAXI STAND,7ABEAAEB0FD29EDD,2022-01-27 10:59:13,103.843572413347,1.31962930189784
TSTOP,TAXI STOP,4D48761DE5CD3303,2022-01-27 10:59:13,103.850592325596,1.28020278922369
TSTAND,TAXI STAND,606B0C1BC6725009,2022-01-27 10:59:13,103.872910490325,1.35089274184158
TSTOP,TAXI STOP,15FF11049CA2A023,2022-01-27 10:59:13,103.853796596639,1.28563192735247
TSTAND,TAXI STAND,EE755961A71C43CE,2022-01-27 10:59:13,103.81442508994,1.32146820205188
TSTAND,TAXI STAND,FABB9B69851A6709,2022-01-27 10:59:13,103.901242888591,1.3852932855883
TSTAND,TAXI STAND,E22D261CAD0CC7EF,2022-01-27 10:59:13,103.905037130346,1.30223233401791
TSTAND,TAXI STAND,7E350D70BE6219AC,2022-01-27 10:59:13,103.850347761093,1.29194380536412
TSTOP,TAXI STOP,7257D369DD2B1FFB,2022-01-27 10:59:13,103.851396302644,1.2909808467
TSTAND,TAXI STAND,04A1C25282CF49DE,2022-01-27 10:59:13,103.849474752941,1.29181937230507
TSTAND,TAXI STAND,203CAB131769FE8F,2022-01-27 10:59:13,103.861400814227,1.30331734727618
TSTAND,TAXI STAND,FAC463DDC76762BA,2022-01-27 10:59:13,103.863538432387,1.29980297396355
TSTAND,TAXI STAND,C11D0ADE307D0D77,2022-01-27 10:59:13,103.864948822853,1.30293687855996
TPD,TAXI PICK UP / DROP OFF,6112F4FED04B2249,2022-01-27 10:59:13,103.761843058063,1.37913471839575
,,BCBD5153,2022-01-27 10:59:13,103.636999251412,1.3406935956518
TSTOP,TAXI STOP,AC637AC0E3EDDD4D,2022-01-27 10:59:13,103.856029699599,1.31086669172585
TSTAND,TAXI STAND,2C4657596268E18F,2022-01-27 10:59:13,103.8548866381,1.3110192121364
TSTAND,TAXI STAND,9E9B80E3B4ECC170,2022-01-27 10:59:13,103.85161791907,1.30525214803616
TSTAND,TAXI STAND,366DF1C0ED75A525,2022-01-27 10:59:13,103.837586460315,1.31220051793208
TSTOP,TAXI STOP,5D7BB2BADE08F0EC,2022-01-27 10:59:13,103.844298321595,1.28627251436708
TSTAND,TAXI STAND,D3154E3C75E45BDE,2022-01-27 10:59:13,103.785140391313,1.44792433446141
TSTAND,TAXI STAND,211D3EBB9B27661D,2022-01-27 10:59:13,103.820253815659,1.27621902959481
TSTOP,TAXI STOP,C7F14C6BB64F4E97,2022-01-27 10:59:13,103.961546284477,1.34133988706215
TSTOP,TAXI STOP,D350186D7AC217F8,2022-01-27 10:59:13,103.961342992952,1.34199572678973
TSTAND,TAXI STAND,FC32C9459ED85560,2022-01-27 10:59:13,103.829835434766,1.44317200717883
TSTAND,TAXI STAND,824F19E1DCB228CD,2022-01-27 10:59:13,103.787266235359,1.43720032074241
TSTAND,TAXI STAND,D8CC8158A587B619,2022-01-27 10:59:13,103.788970178919,1.43626064956843
TSTAND,TAXI STAND,F03659FF4E7D1E4F,2022-01-27 10:59:13,103.912393667729,1.32073535729071
TSTOP,TAXI STOP,321DC4E42CCA66BE,2023-01-05 17:35:57,103.887688532211,1.30807516596701
TPD,TAXI PICK UP / DROP OFF,0B3CD59287BA8598,2023-01-05 17:36:11,103.833479165538,1.3636413826083
TPD,TAXI PICK UP / DROP OFF,8CCE6C4FA10ADFD0,2023-01-05 17:36:11,103.832424525511,1.36278285128757
TSTOP,TAXI STOP,6A97912898DDD002,2023-01-05 17:36:11,103.835452119605,1.38564026724232
TSTOP,TAXI STOP,A8C07EC09CE5A2B1,2023-01-05 17:36:11,103.837809298321,1.38476739787306
TSTOP,TAXI STOP,B81521E59131D077,2023-01-05 17:36:11,103.837826775345,1.38318718693962
TSTOP,TAXI STOP,79E068C5DA445958,2023-01-05 17:36:11,103.8356615285,1.38582984438269
TSTAND,TAXI STAND,9473D47D2CF97D3B,2023-01-05 17:36:11,103.840397792789,1.33814182067498
TSTAND,TAXI STAND,D05A83DA915C844A,2023-01-05 17:36:11,103.839544054799,1.33694752915772
TSTAND,TAXI STAND,147989953A9CEBB5,2023-01-05 17:36:11,103.840667515299,1.33795759992177
TSTAND,TAXI STAND,005B749A5817A4AD,2023-01-05 17:36:11,103.839739577277,1.33721543759957
TSTOP,TAXI STOP,2D692243132EF156,2023-01-05 17:36:11,103.847140441311,1.27474725591612
TSTOP,TAXI STOP,EAFBC3CE5CDE6D53,2023-01-05 17:36:11,103.836921677159,1.37293483544234
TSTOP,TAXI STOP,92FD9737F97B8505,2023-01-05 17:36:11,103.836667062075,1.37138287076267
TSTAND,TAXI STAND,C04C52C72DA3E6EC,2022-01-27 10:59:13,103.952911314758,1.34231032179324
TSTAND,TAXI STAND,7E0B588F6E406BF6,2022-01-27 10:59:13,103.7654787776,1.31411689344519
TSTAND,TAXI STAND,8FE5D431EB68D948,2022-01-27 10:59:13,103.829205482626,1.37191550661135
TSTAND,TAXI STAND,374637C1BA51F130,2022-01-27 10:59:13,103.790504374459,1.40472408630553
TSTAND,TAXI STAND,8939CFC07265450A,2022-01-27 10:59:13,103.801362014352,1.28643009121362
TSTAND,TAXI STAND,6A592B836C98CB97,2022-01-27 10:59:13,103.783722064555,1.29829202037788
TSTAND,TAXI STAND,416D12E8531AE4EA,2022-01-27 10:59:13,103.7980070453,1.30240889887249
TSTAND,TAXI STAND,DDD7AA797E447007,2022-01-27 10:59:13,103.706918281167,1.33895293770439
TSTAND,TAXI STAND,310A0818A0080133,2022-01-27 10:59:13,103.803513206656,1.28819850596633
TPD,TAXI PICK UP / DROP OFF,B0979136778DE6DB,2022-01-27 10:59:13,103.849255177791,1.29883906775576
TSTAND,TAXI STAND,4FFF1CC55E55DE28,2022-01-27 10:59:13,103.825125337478,1.29334803946478
TSTAND,TAXI STAND,B396072B2352E140,2022-01-27 10:59:13,103.948703239185,1.37239405548841
TSTAND,TAXI STAND,A3D628311835C9DA,2022-01-27 10:59:13,103.897691045985,1.31767351149501
TSTAND,TAXI STAND,3410B60DFA8FFE40,2022-01-27 10:59:13,103.986870368519,1.38969082814645
TSTAND,TAXI STAND,DB63D323A36C341C,2022-01-27 10:59:13,103.889218870875,1.30860413733095
TSTAND,TAXI STAND,F7FB2CA7C8AF4353,2022-01-27 10:59:13,103.946055161466,1.3267115064145
TSTAND,TAXI STAND,20A16385E7ECA095,2022-01-27 10:59:13,103.849689599214,1.3005592978855
TSTAND,TAXI STAND,E06D30ABBA6D9E8A,2022-01-27 10:59:13,103.874142348734,1.34945201218483
TSTAND,TAXI STAND,D1DD0F46BCFE4110,2022-01-27 10:59:13,103.849587840571,1.30543468547573
TSTAND,TAXI STAND,873C888E532653E1,2022-01-27 10:59:13,103.845233591368,1.3005423815208
TSTAND,TAXI STAND,1E7A0CB4B8F50C94,2022-01-27 10:59:13,103.847482779794,1.29916957666779
TSTAND,TAXI STAND,238FE9DDCE1B3B85,2022-01-27 10:59:13,103.844897556949,1.29815276734969
TSTAND,TAXI STAND,4DD00B19491CC140,2022-01-27 10:59:13,103.843952897275,1.29701855154767
TSTAND,TAXI STAND,DC04A85330C1D8E6,2022-01-27 10:59:13,103.850958035402,1.30294684116502
TSTAND,TAXI STAND,C014C100AD13D5B1,2022-01-27 10:59:13,103.852669234486,1.29999408760401
TSTAND,TAXI STAND,E6AA07D81C875AA4,2022-01-27 10:59:13,103.85040522423,1.29618030461839
TSTOP,TAXI STOP,695279672A8F7620,2022-01-27 10:59:13,103.849155884287,1.29770899404959
TSTOP,TAXI STOP,5B692582270F96DB,2022-01-27 10:59:13,103.84931927401,1.29746231938147
TPD,TAXI PICK UP / DROP OFF,869A7A3C5C527E12,2022-01-27 10:59:13,103.852593234695,1.295723358519
TSTAND,TAXI STAND,A0E030C823E0A9ED,2022-01-27 10:59:13,103.820099996087,1.30730541792613
TSTAND,TAXI STAND,48417877221F8B52,2022-01-27 10:59:13,103.697628395346,1.33775966228173
TSTOP,TAXI STOP,7553BFFF7E5CCA9A,2022-01-27 10:59:13,103.850268644432,1.29843731787623
TSTAND,TAXI STAND,BA3D5F246A1208F0,2022-01-27 10:59:13,103.788253655729,1.30645389955873
TPD,TAXI PICK UP / DROP OFF,65C1484E79E0F893,2022-01-27 10:59:13,103.835903782393,1.3046418198392
TSTAND,TAXI STAND,2AE4860E21B192B5,2022-01-27 10:59:13,103.877026783852,1.30380165282811
TSTAND,TAXI STAND,C663E1591FB3EBCD,2022-01-27 10:59:13,103.902691834627,1.40487799938092
TSTAND,TAXI STAND,E035E3280A696CD7,2022-01-27 10:59:13,103.835487279722,1.30436251712159
TSTOP,TAXI STOP,52605B8853CE3860,2022-01-27 10:59:13,103.837644041473,1.30343433854172
